year,city,country,avg_temp
1994,Bangkok,Thailand,27.76
1995,Bangkok,Thailand,27.68
1996,Bangkok,Thailand,27.37
1997,Bangkok,Thailand,28.01
1998,Bangkok,Thailand,28.44
1999,Bangkok,Thailand,27.34
2000,Bangkok,Thailand,27.52
2001,Bangkok,Thailand,27.81
2002,Bangkok,Thailand,27.98
2003,Bangkok,Thailand,27.79
2004,Bangkok,Thailand,27.80
2005,Bangkok,Thailand,27.92
2006,Bangkok,Thailand,27.92
2007,Bangkok,Thailand,27.79
2008,Bangkok,Thailand,27.48
2009,Bangkok,Thailand,27.79
2010,Bangkok,Thailand,28.54
2011,Bangkok,Thailand,27.56
2012,Bangkok,Thailand,28.48
2013,Bangkok,Thailand,28.98
